"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"285","BA-IDB-M08-F01","Digital Marketing","Manuel Martinez Estrada","SoSe26"
"286","BA-IDB-M11-F01","Digital Literacy I: Coding","Prof. Dr. Markus Löcher","SoSe26"
"287","BA-IDB-M21-F04","Entrepreneurial Project II","Prof. Dr. Fatoumata Camara / Dr. Yana Heussen","SoSe26"
"288","BA-IDB-M23-F03","Academic Writing & Managing Complexity 1","Prof. Dr. Tobias Braun / Selen Soysal-Kazanç","SoSe26"
"289","BA-IDB-M23-F03","Academic Writing & Managing Complexity 2","Prof. Dr. Tobias Braun / Christina Druffel","SoSe26"
"290","BA-BUS-MSQ-F01","Selbstmanagement 1","Jacqueline Grassmé-Grave","SoSe26"
"291","BA-BUS-MSQ-F02","Kommunikation und Präsentation 1","Monika Kaiser","SoSe26"
"292","BA-BUS-MSQ-F04","Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel)","Prof. Dr. Michael Faustino Bauer","SoSe26"
"293","BA-BUS-MSQ-F05","Gesprächsführung","Petra Fléing","SoSe26"
"294","BA-BUS-MSQ-F06","Interkulturelle Kompetenz","Dr. Martina Heike Schubert / Dr. Gregor Wittke","SoSe26"
"295","BA-BUS-MSQ-F08","Design Thinking","Melissa Zaske","SoSe26"
"296","BA-BUS-MSQ-F12","Generative AI","Christian Klang","SoSe26"
"297","BA-BUS-MSP-F06","Business English B1: Compact Refresher","Mariana Aguilar Ramírez","SoSe26"
"298","BA-BUS-MSP-F02","Business English and Communication B1+","Mariana Aguilar Ramírez","SoSe26"
"299","BA-BUS-MSP-F03","Business English and Communication B2 __1","Dr. phil. Elena Polyakova","SoSe26"
"300","BA-BUS-MSP-F03","Business English and Communication B2 __ 2","Giles Shephard","SoSe26"
"301","BA-BUS-MSP-F03","Business English and Communication B2 __ 3 Blended - Gruppe entfällt","","SoSe26"
"302","BA-BUS-MSP-F04","Business English and Communication B2+ __ 1","Dr. phil. Elena Polyakova","SoSe26"
"303","BA-BUS-MSP-F04","Business English and Communication B2+ __ 2","Ellen Klein","SoSe26"
"304","BA-BUS-MSP-F05","Business English and Communication C1 __ 1","Krzysztof Debicki","SoSe26"
"305","BA-BUS-MSP-F05","Business English and Communication C1 __ 2","Mariana Aguilar Ramírez","SoSe26"
"306","BA-BUS-MSP-F05","Business English and Communication C1 __ 3","Nisha Becker","SoSe26"
"307","BUS-MSP-F03","Business English B 2.1, Part 1 __ 1","John M. Gordon","SoSe26"
"308","BUS-MSP-F03","Business English B 2.1, Part 1 __ 2 Abend","Michael David","SoSe26"
"309","BUS-MSP-F04","Business English B 2.1, Part 2 __ 1","Isabel Vinda","SoSe26"
"310","BUS-MSP-F04","Business English B 2.1, Part 2 __ 2","Krzysztof Debicki","SoSe26"
"311","BUS-MSP-F05","Business English B 2.2, Part 1 __ 1","Peter Sedy","SoSe26"
"312","BUS-MSP-F05","Business English B 2.2, Part 1 __ 2 Abend","Michael David","SoSe26"
"313","BUS-MSP-F06","Business English B 2.2, Part 2 __ 1","Nisha Becker","SoSe26"
"314","BUS-MSP-F06","Business English B 2.2, Part 2 __ 2 entfällt","","SoSe26"
"315","BUS-MSP-F06","Business English B 2.2, Part 2 __ 3","Giles Shephard","SoSe26"
"316","BUS-MSP-F07","Business English C 1.1, Part 1 __ 1","Aleksandar Zivkovic","SoSe26"
"317","BUS-MSP-F07","Business English C 1.1, Part 1 __ 2","Alex Storonkin","SoSe26"
"318","BUS-MSP-F08","Business English C 1.1, Part 2 __ 1 entfällt","","SoSe26"
"319","BUS-MSP-F08","Business English C 1.1, Part 2 __ 2","Alex Storonkin","SoSe26"
"320","BUS-MSP-F09","Business English C 1.2, Part 1 __ 1","Kenneth Rossiter","SoSe26"
"321","BUS-MSP-F09","Business English C 1.2, Part 1 __ 2","Sandra Baker","SoSe26"
"322","BUS-MSP-F10","Business English C 1.2, Part 2 __ 1","Krzysztof Debicki","SoSe26"
"323","BUS-MSP-F10","Business English C 1.2, Part 2 __ 2","Sandra Baker","SoSe26"
"324","CAF-MBS-F01","Internationale Unternehmensbesteuerung","Prof. Dr. Wojciech Stiller","SoSe26"
"325","CAF-MFin-F01","Finanzierungs- und Investitionspolitik der Unternehmen 1","Dr. Stefan Paulus","SoSe26"
"326","CAF-MFin-F01","Finanzierungs- und Investitionspolitik der Unternehmen 2 Blended","Dr. Stefan Paulus","SoSe26"
"327","CAF-MFin-F01","Corporate Finance 3","Prof. Dr. Martin Uzik","SoSe26"
"328","CAF-MFin-F02","Finanzwirtschaftliche Analyse und Bewertung 1","Prof. Dr. Martin Uzik","SoSe26"
"329","CAF-MFin-F02","Financial Analysis and Valuation 2","Prof. Dr. Martin Uzik","SoSe26"
"330","CAF-MFin-F03","Finanzwirtschaft der Kapitalmärkte 1 Blended","Prof. Dr. André Tomfort","SoSe26"
"331","CAF-MFin-F03","Capital Markets 2","Prof. Dr. André Tomfort","SoSe26"
"332","CAF-MFin-F06","Quantitative and Computational Finance","Natalie Packham","SoSe26"
"333","CAF-MM-F01","Produkt- und Vertriebsmanagement 1","Sascha Thieme","SoSe26"
"334","CAF-MM-F01","Produkt- und Vertriebsmanagement 2 Blended","Sascha Thieme","SoSe26"
"335","CAF-MM-F01","Product and Distribution Managment 3","Dr. Ernestine Siebert","SoSe26"
"336","CAF-MM-F02","Marktforschung 1","Prof. Dr. Carsten Baumgarth","SoSe26"
