Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende,Sprache
BUS-MSQ-F11,International Project Management - International Project Management 2 Blended,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Sakib Mehanovic,Deutsch
BUS-MSQ-F12,Generative AI - Generative AI 1,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Tore Reimers,Deutsch
BUS-MSQ-F12,Generative AI - Generative AI 2,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Dr. rer. pol. Paul Walter,Deutsch
BUS-MSQ-F12,Generative AI - Generative AI 3,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Jonas Eberlein,Deutsch
BUS-MSQ-F12,Generative AI - Generative AI 4,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Christian Klang,Deutsch
BUS-M39-F01,Praxisseminar - Praxisseminar 8,1,Leistungstest (undifferenziert),Seminar,Prof. Dr. Jochen Breinlinger-O'Reilly,Deutsch
CAF-MBS-F02,Ausgewählte Fragen der Unternehmensbesteuerung,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Wojciech Stiller,Deutsch
BA-Eco-M14-F01,"Märkte, Wettbewerb und Regulierung",5,Klausur,seminaristischer Unterricht,Prof. Dr. Andreas Polk,Deutsch
BA-BUS-MSQ-F07,Improve-Präsentationstraining/ Improvisationstheater,2.5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Angeline Heilfort,Deutsch
BUS-MSQ-F01,Selbstmanagement - Selbstmanagement 6 Blended,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Mona Katzenberger,Deutsch
BUS-MSQ-F12,Generative AI - Generative AI 5 Blended,3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Tore Reimers,Deutsch
IBMAN-MI-F13,Management Issues: Project Management,5,Kombinierte Prüfung,seminaristischer Unterricht,Andreas Imthurn,Deutsch
IBMAN-MI-F09,Management Issues: Entrepreneurship,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. rer. Sven Ripsas,Deutsch
MPE-M01-F23,Strategic Responsible Transformation,6.5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Matthias Tomenendal,Deutsch
BA-BUS-M27-F01,Wirtschaftsmathematik - Wirtschaftsmathematik 7 - Nachzügler,5,Klausur,seminaristischer Unterricht,,Deutsch
CAF-MSCOM-F08,Nachhaltige Planung und Optimierung logistischer Systeme im Supply Chain Management,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Marc Rothländer,Deutsch
BUS-M12-F01,"Wirtschaftswissenschaftliches Seminar - Seminar 10 - KI, Automatisierung, Plattformökonomie",5,Hausarbeit,seminaristischer Unterricht,Jonny Bix Bongers,Deutsch
BUS-M10-F01,Operations Management - Operations Management 4 (Englisch),5,Kombinierte Prüfung,seminaristischer Unterricht,Martin Bodo Pruy,Englisch
BA-BUS-M08-F01,Instrumente des Controllings - Instrumente des Controllings 8,5,Klausur,seminaristischer Unterricht,Martin Bodo Pruy,Deutsch
BUS-M12-F01,Wirtschaftswissenschaftliches Seminar - Seminar 11 - Empirische Finanzmarktforschung,5,Hausarbeit,seminaristischer Unterricht,Dr. Stefan Paulus,Deutsch
BA-ISUM-M11-F01,Sustainable Operations Management II,5,Klausur,seminaristischer Lehrvortrag,Prof. Dr. Eberhard Schmid,Deutsch
BA-ISUM-M14-F01,Integrated Sustainability Reporting,5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Prof. Dr. Annett Baumast,Deutsch
BA-ISUM-M17-F01,Statistics & Applications in Data Science,5,Klausur,seminaristischer Lehrvortrag,Prof. Dr. Maria Osipenko / Fanqi Meng,Deutsch
BA-ISUM-M22-F01,Entrepreneurial Project III,10,Portfolio,seminaristischer Lehrvortrag,Prof. Dr. Barbara Beham / Prof. Dr. rer. Sven Ripsas / Sylvia Krepska,Deutsch
BA-ISUM-M24-F01,Storytelling for Business & Business Ethics,5,Kombinierte Prüfung,Übung,Prof. Dr. Katja Andresen / Jonny Bix Bongers,Deutsch
BA-ISUM-M09-F01,Sustainability Marketing,5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Julia Hüller,Deutsch
BA-ISUM-M23-F01,Academic Writing & Managing Complexity - Academic Writing & Managing Complexity 1,5,Kombinierte Prüfung,Übung,Martin Castro / Prof. Dr. Tobias Braun,Deutsch
BA-ISUM-M21-F04,Entrepreneurial Project II,5,Portfolio,"Projektseminar, Action-learning",Dr. Yana Heussen / Maximilian Mauracher,Deutsch
BA-ISUM-M23-F01,Academic Writing & Managing Complexity - Academic Writing & Managing Complexity 2,5,Kombinierte Prüfung,Übung,Dr. Katharina Maak-Castro / Prof. Dr. Tobias Braun,Deutsch
WiRecht-M39-F02,English for Business Law: Common Law Cases,3,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Torsten Straub,Englisch
WiRecht-M39-F01,English for Business Law: English Legal System,3,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Torsten Straub,Englisch
WiRecht-M09-F01,Vertiefung Zivilrecht,3,Klausur,Praktische Übung,Prof. Dr. Sebastian Schunke,Deutsch
WiRecht-M41-F01,Praxisseminar,1,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Sebastian Schunke,Deutsch
WiRecht-M06-F02,Recht im Unternehmen (Gesellschaftsrecht I),2.5,Klausur,seminaristischer Unterricht,Julia Preußer,Deutsch
WiRecht-M06-F01,Recht im Unternehmen (Arbeitsrecht I),2.5,Klausur,seminaristischer Unterricht,Prof. Dr. Reingard Zimmer,Deutsch
WiRecht-M04-F01,Zivilrecht III,5,Kombinierte Prüfung,Seminar,Prof. Dr. Sebastian Schunke,Deutsch
WiRecht-M05-F01,Zivilrecht IV,5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Arnold Lehmann-Richter,Deutsch
WiRecht-M12-F01,Wirtschaftsstrafrecht,5,Klausur,seminaristischer Unterricht,Alexander Sättele,Deutsch
WiRecht-M23-F01,Bank- und Kreditsicherungsrecht,5,Klausur,seminaristischer Unterricht,Prof. Dr. Julia Klauer,Deutsch
WiRecht-M08-F01,Gesellschaftsrecht II,5,Hausarbeit,seminaristischer Unterricht,Julia Preußer,Deutsch
WiRecht-M21-F01,Europäisches Wirtschaftsrecht,5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Torsten Straub,Deutsch
