Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende
EcoPol-F08,Modelling in Ecological Economics,6.5,Kombinierte Prüfung,Seminar,Moritz Marpe
EcoPol-F09,Labour and Ecology,6.5,Hausarbeit,seminaristischer Unterricht,Prof. Dr. Markus Wissen
MA-Eco-M11-F01,Research Seminar,6,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Eckhard Hein
IMM-M08-F02,International Marketing Project,6.5,Kombinierte Prüfung,seminaristischer Unterricht,Prof. Dr. Dirk-Mario Boltz
IMM-M09-F04,Current Issues: Data-driven Marketing,6.5,Klausur,seminaristischer Unterricht,Prof. Dr. Tobias Naujoks
IMM-M10-F02,Tutorial Seminar II,4,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Sonja Klose
IMM-M11-F02,Research Seminar,6,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Sonja Klose
IMM-M06-F04,Digital Marketing,6.5,Kombinierte Prüfung,Seminar,Prof. Dr. Sonja Klose
IMM-M06-F06,Marketing and Innovation for Impact-Driven and Sustainable Businesses,6.5,Kombinierte Prüfung,Seminar,Christian Schlimok / Luzius Rüedi / Bastian von Lehsten
IBCON-M11-F01,Research Seminar,6,Leistungstest (undifferenziert),seminaristischer Unterricht,Prof. Dr. Barbara Beham / Prof. Dr. Christoph Dörrenbächer
GSCOM-M11-F01,Research Seminar,6,Leistungstest (undifferenziert),seminaristischer Lehrvortrag,Prof. Dr. Dmitry Ivanov
FACT-M08-F02,Besteuerung grenzüberschreitender Transaktionen,6.5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Prof. Dr. Wojciech Stiller
FACT-M23-F01,Forschungsmethodisches Seminar,6,Leistungstest (undifferenziert),seminaristischer Lehrvortrag,Prof. Dr. Agnes Aschfalk-Evertz / Prof. Dr. Wojciech Stiller
BIPM-M11-F01,Research Seminar,6,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Prof. Dr. Alexander Eck
BA-ISUM-M11-F01...,Sustainable Operations Management II,5,Klausur,seminaristischer Lehrvortrag,Prof. Dr. Eberhard Schmid
BA-ISUM-M14-F01...,Integrated Sustainability Reporting,5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Prof. Dr. Annett Baumast
BA-ISUM-M17-F01...,Statistics & Applications in Data Science,5,Klausur,seminaristischer Lehrvortrag,Prof. Dr. Maria Osipenko / Fanqi Meng
BA-ISUM-M22-F01...,Entrepreneurial Project III,10,Portfolio,seminaristischer Lehrvortrag,Prof. Dr. Barbara Beham / Prof. Dr. rer. Sven Ripsas / Sylvia Krepska
BA-ISUM-M24-F01...,Storytelling for Business & Business Ethics,5,Kombinierte Prüfung,Übung,Prof. Dr. Katja Andresen / Jonny Bix Bongers
BA-ISUM-M09-F01...,Sustainability Marketing,5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Julia Hüller
BA-ISUM-M23-F01...,Academic Writing & Managing Complexity - Academic Writing & Managing Complexity 1,5,Kombinierte Prüfung,Übung,Martin Castro / Prof. Dr. Tobias Braun
BA-ISUM-M21-F04...,Entrepreneurial Project II,5,Portfolio,"Projektseminar, Action-learning",Dr. Yana Heussen / Maximilian Mauracher
BA-ISUM-M23-F01...,Academic Writing & Managing Complexity - Academic Writing & Managing Complexity 2,5,Kombinierte Prüfung,Übung,Dr. Katharina Maak-Castro / Prof. Dr. Tobias Braun
BA-IDB-M09-F01,Digitales Performance Management - Digital Performance Management,5,Klausur,seminaristischer Lehrvortrag,Prof. Dr. Michael Faustino Bauer
BA-IDB-M14-F01,Digital Literacy IV: Software Architectures,5,Kombinierte Prüfung,seminaristischer Lehrvortrag,Pallabi Mukherjee
