modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
BA-BUS-M21-F01,Makroökonomie ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BUS-M21-F01,Makroökonomie: Konjunktur und Beschäftigung ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BUS-M22-F01,Internationale Wirtschaft ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-BUS-M23-F01,Recht 1 ,5,,Klausur,seminaristischer Unterricht
BUS-M23-F01,Privates Wirtschaftsrecht ,5,,Klausur,seminaristischer Unterricht
BUS-M24-F01,Recht im Unternehmen (Gesellschaftsrecht) ,2,5,,Klausur,seminaristischer Unterricht
BUS-M24-F02,Recht im Unternehmen (Arbeitsrecht) ,2,5,,Klausur,seminaristischer Unterricht
BA-BUS-M25-F01,Nachhaltige Transformation von Unternehmen und Gesellschaft ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BUS-M25-F01,Unternehmen, Betrieb, Arbeit,5,,Kombinierte Prüfung,seminaristischer Unterricht
BUS-M26-F01,Politische Ökonomie und Sozialstruktur der modernen Gesellschaft ,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-BUS-M27-F01,Wirtschaftsmathematik ,5,,Klausur,seminaristischer Unterricht
AC-Mathe-BK,Wirtschaftsmathematischer Brückenkurs im Semester ,0,,Keine Prüfung,Seminar
BUS-M27-F01,Wirtschaftsmathematik ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M28-F01,Statistik ,5,,Klausur,seminaristischer Unterricht
BUS-M28-F01,Statistik ,5,,Klausur,seminaristischer Unterricht
BA-BUS-M29-F01,Wirtschaftsinformatik 1 ,5,,Leistungstest,seminaristischer Unterricht
BUS-M29-F01,Grundlagen der Wirtschaftsinformatik ,5,,Leistungstest (undifferenziert),seminaristischer Unterricht
AC-Mathe-VK,Wirtschaftsmathematischer Vorkurs (Vor Semesterstart) ,0,,Keine Prüfung,Seminar
Spanisch-F02,Wirtschaftsspanisch A 2 ,5,,Kombinierte Prüfung,Praktische Übung
Spanisch-F03,Wirtschaftsspanisch B 1.1,5,,Kombinierte Prüfung,Praktische Übung
Spanisch-F04,Wirtschaftsspanisch B 1.2,5,,Kombinierte Prüfung,Praktische Übung
Spanisch-F05,Wirtschaftsspanisch B 2.1,5,,Kombinierte Prüfung,Praktische Übung
BA-BUS-M30-F01,Wirtschaftsinformatik 2 ,5,,Kombinierte Prüfung,seminaristischer Unterricht
Spanisch-F06,Wirtschaftsspanisch B 2.2,5,,Kombinierte Prüfung,Praktische Übung
Franz-F03,Wirtschaftsfranzösisch B 1.1,5,,Kombinierte Prüfung,Praktische Übung
