modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
CAF-MBS-F02,Ausgewählte Fragen der Unternehmensbesteuerung,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-Eco-M14-F01,Märkte, Wettbewerb und Regulierung,5,,Klausur,seminaristischer Unterricht
BA-BUS-MSQ-F07,Improve-Präsentationstraining/ Improvisationstheater,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
IBMAN-MI-F13,Management Issues: Project Management,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-MI-F09,Management Issues: Entrepreneurship,5,,Kombinierte Prüfung,seminaristischer Unterricht
MPE-M01-F23,Strategic Responsible Transformation,6,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MSCOM-F08,Nachhaltige Planung und Optimierung logistischer Systeme im Supply Chain Management,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-ISUM-M11-F01,Sustainable Operations Management II,5,,Klausur,seminaristischer Lehrvortrag
BA-ISUM-M14-F01,Integrated Sustainability Reporting,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
BA-ISUM-M17-F01,Statistics & Applications in Data Science,5,,Klausur,seminaristischer Lehrvortrag
BA-ISUM-M22-F01,Entrepreneurial Project III,10,,Portfolio,seminaristischer Lehrvortrag
BA-ISUM-M24-F01,Storytelling for Business & Business Ethics,5,,Kombinierte Prüfung,Übung
BA-ISUM-M09-F01,Sustainability Marketing,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
BA-ISUM-M23-F01,Academic Writing & Managing Complexity ,5,,Kombinierte Prüfung,Übung
BA-ISUM-M21-F04,Entrepreneurial Project II,5,,Portfolio,Projektseminar, Action-learning
WiRecht-M39-F02,English for Business Law: Common Law Cases,3,,Leistungstest (undifferenziert),seminaristischer Unterricht
WiRecht-M39-F01,English for Business Law: English Legal System,3,,Leistungstest (undifferenziert),seminaristischer Unterricht
WiRecht-M09-F01,Vertiefung Zivilrecht,3,,Klausur,Praktische Übung
WiRecht-M41-F01,Praxisseminar,1,,Leistungstest (undifferenziert),Projektseminar, Action-learning
WiRecht-M06-F02,Recht im Unternehmen (Gesellschaftsrecht I),2,5,,Klausur,seminaristischer Unterricht
WiRecht-M06-F01,Recht im Unternehmen (Arbeitsrecht I),2,5,,Klausur,seminaristischer Unterricht
WiRecht-M04-F01,Zivilrecht III,5,,Kombinierte Prüfung,Seminar
WiRecht-M05-F01,Zivilrecht IV,5,,Hausarbeit,seminaristischer Unterricht
WiRecht-M12-F01,Wirtschaftsstrafrecht,5,,Klausur,seminaristischer Unterricht
WiRecht-M23-F01,Bank- und Kreditsicherungsrecht,5,,Klausur,seminaristischer Unterricht
WiRecht-M08-F01,Gesellschaftsrecht II,5,,Hausarbeit,seminaristischer Unterricht
WiRecht-M21-F01,Europäisches Wirtschaftsrecht,5,,Kombinierte Prüfung,seminaristischer Unterricht
WiRecht-M07-F01,Arbeitsrecht II,5,,Kombinierte Prüfung,seminaristischer Unterricht
WiRecht-M24-F01,Praktische Anwendungen des Wirtschaftsrechts,5,,Kombinierte Prüfung,seminaristischer Unterricht
WiRecht-M03-F01,Zivilrecht II,5,,Hausarbeit,seminaristischer Unterricht
WiRecht-M35-F01,Statistik,5,,Klausur,seminaristischer Unterricht
WiRecht-M11-F02,Öffentliches Wirtschaftsrecht,5,,Klausur,seminaristischer Unterricht
WiRecht-M01-F01,Einführung in das Studium,2,,Leistungstest (undifferenziert),Projektseminar
WiRecht-M34-F01,Volkswirtschaftliche Rahmenbedingungen,5,,Klausur,Seminar
WiRecht-M02-F01,Zivilrecht I,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M32-F01,Projektmanagement und Fallstudien,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-WiIng-M33-F01,Unternehmenssimulation mit Teamentwicklung und Supervision ,5,,Kombinierte Prüfung (undifferenziert),Übung
BA-WiIng-M34-F01,Strategische Finanzplanung und Bewertung,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M36-F01,Nachhaltiges Operations Management II,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-WiIng-M37-F01,Analyse unternehmerischer Nachhaltigkeit,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M21-F01,Statistik,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M22-F01,Investition und Finanzierung,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M07-F02,Business English II,0,,Kombinierte Prüfung,Übung
BA-WiIng-M07-F03,Business English III,0,,Kombinierte Prüfung,Übung
BA-WiIng-M08-F01,Einführung in die Umweltökonomie und nachhaltige Entwicklung,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M09-F01,Marketing,5,,Klausur,seminaristischer Unterricht
